Instiution	Country	Region	MainOrg	Type
Sorbonne Université	France	Europe	Sorbonne Université	ACADEMIA
Sorbonne University	France	Europe	Sorbonne University	ACADEMIA
Stability AI	United Kingdom	Europe	Stability AI	INDUSTRY
Stanford	USA	North America	Stanford	ACADEMIA
Stanford University	USA	North America	Stanford	ACADEMIA
State Key Laboratory for Novel Software Technology	China	China	State Key Laboratory for Novel Software Technology	ACADEMIA
State Key Laboratory of Computer Science	China	China	State Key Laboratory of Computer Science	ACADEMIA
State Key Laboratory of Multimedia Information Processing	China	China	State Key Laboratory of Multimedia Information Processing	ACADEMIA
Studio Ousia	Japan	APAC	Studio Ousia	INDUSTRY
Sun Yat-sen University	China	China	Sun Yat-sen University	ACADEMIA
SUNY	USA	North America	SUNY	ACADEMIA
SUPSI	Switzerland	Europe	SUPSI	ACADEMIA
Team	n/a	n/a	Team	N/A
Technical University of Darmstadt	Germany	Europe	Technical University of Darmstadt	ACADEMIA
Technical University of Munich	Germany	Europe	Technical University of Munich	ACADEMIA
Technical University of Munich TUM	Germany	Europe	Technical University of Munich	ACADEMIA
Technion - Israel Institute of Technology	Israel	Middle East	Technion - Israel Institute of Technology	ACADEMIA
Knowledge Engineering Group KEG	Germany	Europe	Technische Universität Darmstadt	ACADEMIA
Technische Universität Darmstadt	Germany	Europe	Technische Universität Darmstadt	ACADEMIA
Technology	n/a	n/a	Technology	INDUSTRY
Technology Innovation Institute	United Arab Emirates	Middle East	Technology Innovation Institute	ACADEMIA
Technology Innovation Institute TII	United Arab Emirates	Middle East	Technology Innovation Institute	ACADEMIA
Technology of China	China	China	Technology of China	ACADEMIA
Tel Aviv University	Israel	Middle East	Tel Aviv University	ACADEMIA
Tecent	China	China	Tencent	INDUSTRY
Tencent	China	China	Tencent	INDUSTRY
Youtu Lab	China	China	Tencent	INDUSTRY
TensorTour Inc.	USA	North America	TensorTour 	INDUSTRY
DeepScale	USA	North America	Tesla	INDUSTRY
Texas A&M University	USA	North America	Texas A&M University	ACADEMIA
The AI Institute	USA	North America	AI Institute	ACADEMIA
The Alan Turing Institute	United Kingdom	Europe	Alan Turing Institute	ACADEMIA
MMLab CUHK	Hong Kong	APAC	Chinese University of Hong Kong	ACADEMIA
The Chinese University of Hong Kong	Hong Kong	APAC	Chinese University of Hong Kong	ACADEMIA
Department of Computing Science	Canada	North America	Department of Computing Science is part of the University of Alberta.	ACADEMIA
The Hebrew University of Jerusalem	Israel	Middle East	Hebrew University of Jerusalem	ACADEMIA
HKUSTGZ	China	China	Hong Kong University of Science and Technology	ACADEMIA
The University of Adelaide	Australia	APAC	University of Adelaide	ACADEMIA
The University of Electro-Communications	Japan	APAC	University of Electro-Communications	ACADEMIA
The University of Hong Kong	Hong Kong	APAC	University of Hong Kong	ACADEMIA
The University of Texas at Austin	USA	North America	University of Texas at Austin	ACADEMIA
THUDM	Germany	Europe	THUDM	ACADEMIA
Tianjin University	China	China	Tianjin University	ACADEMIA
Tohoku University	Japan	APAC	Tohoku University	ACADEMIA
Toshiba Europe Ltd	Japan	APAC	Toshiba Corporation	INDUSTRY
Toyota Research Institute	USA	North America	Toyota	INDUSTRY
Toyota Technological Institute at Chicago	USA	North America	Toyota	ACADEMIA
TTI-Chicago	USA	North America	Toyota	ACADEMIA
Tsinghua	China	China	Tsinghua	ACADEMIA
Data Mining at Tsinghua University THUDM	China	China	Tsinghua University	ACADEMIA
IIIS	China	China	Tsinghua University	ACADEMIA
IIIS Tsinghua	China	China	Tsinghua University	ACADEMIA
IIIS Tsinghua University	China	China	Tsinghua University	ACADEMIA
Tsinghua University	China	China	Tsinghua University	ACADEMIA
TU Berlin	Germany	Europe	TU Berlin	ACADEMIA
Tufts University	USA	North America	Tufts University	ACADEMIA
TurkuNLP	Finland	Europe	TurkuNLP	ACADEMIA
TurkuNLP Group	Finland	Europe	TurkuNLP Group	ACADEMIA
DEVCOM ARL	USA	North America	U.S. Army Combat Capabilities Development Command	ACADEMIA
UAE	United Arab Emirates	Middle East	UAE	N/A
Uber AI	USA	North America	Uber	INDUSTRY
UC Berkeley	USA	North America	University of California, Berkeley	ACADEMIA
UC San Diego	USA	North America	UC San Diego	ACADEMIA
UCL	United Kingdom	Europe	UCL	ACADEMIA
UCLA	USA	North America	UCLA	ACADEMIA
UCSD	USA	North America	UCSD	ACADEMIA
UK	United Kingdom	Europe	UK	N/A
UMass	United States	North America	UMass	ACADEMIA
UNC	USA	North America	UNC	ACADEMIA
UNC-Chapel Hill	USA	North America	UNC-Chapel Hill	ACADEMIA
Univ. of California	USA	North America	Univ. of California	ACADEMIA
Universite de Lorraine	France	Europe	Universite de Lorraine	ACADEMIA
MILA	Canada	North America	Université de Montréal	ACADEMIA
Université de Montréal	Canada	North America	Université de Montréal	ACADEMIA
Université de Sherbrooke	Canada	North America	Université de Sherbrooke	ACADEMIA
Université du Maine	France	Europe	Université du Maine	ACADEMIA
Université Paris-Est	France	Europe	Université Paris-Est	ACADEMIA
Universiteit van Amsterdam	Netherlands	Europe	Universiteit van Amsterdam	ACADEMIA
University at Buffalo	USA	North America	University at Buffalo	ACADEMIA
University College London	United Kingdom	Europe	University College London	ACADEMIA
University of Adelaide	Australia	APAC	University of Adelaide	ACADEMIA
University of Alberta	Canada	North America	University of Alberta	ACADEMIA
University of Amsterdam	Netherlands	Europe	University of Amsterdam	ACADEMIA
University of Bremen	Germany	Europe	University of Bremen	ACADEMIA
University of California	USA	North America	University of California	ACADEMIA
University of California Berkeley	USA	North America	University of California, Berkeley	ACADEMIA
San Diego	USA	North America	University of California San Diego	N/A
University of California San Diego	USA	North America	University of California San Diego	ACADEMIA
Berkeley AI Research BAIR Laboratory	USA	North America	University of California, Berkeley	ACADEMIA
Berkeley Artificial Intelligence Research	USA	North America	University of California, Berkeley	ACADEMIA
rail-berkeley	USA	North America	University of California, Berkeley	ACADEMIA
University of Cambridge	United Kingdom	Europe	University of Cambridge	ACADEMIA
University of Crete	Greece	Europe	University of Crete	ACADEMIA
University of Edinburgh	United Kingdom	Europe	University of Edinburgh	ACADEMIA
University of Florida	USA	North America	University of Florida	ACADEMIA
University of Freiburg	Germany	Europe	University of Freiburg	ACADEMIA
University of Guelph	Canada	North America	University of Guelph	ACADEMIA
University of Hamburg	Germany	Europe	University of Hamburg	ACADEMIA
University of Hong Kong	Hong Kong	APAC	University of Hong Kong	ACADEMIA
University of Hyderabad	India	APAC	University of Hyderabad	ACADEMIA
University of Illinois	USA	North America	University of Illinois	ACADEMIA
University of Illinois at Urbana–Champaign	USA	North America	University of Illinois at Urbana–Champaign	ACADEMIA
University of Illinois Urbana-Champaign	USA	North America	University of Illinois at Urbana–Champaign	ACADEMIA
University of Illinois Urbana-Champaign UIUC	USA	North America	University of Illinois at Urbana–Champaign	ACADEMIA
University of Lugano	Switzerland	Europe	University of Lugano	ACADEMIA
University of Macau	Macau	APAC	University of Macau	ACADEMIA
University of Manchester	United Kingdom	Europe	University of Manchester	ACADEMIA
UMass Lowell	USA	North America	University of Massachusetts	ACADEMIA
University of Michigan	USA	North America	University of Michigan	ACADEMIA
University of Minnesota	USA	North America	University of Minnesota	ACADEMIA
University of Modena	Italy	Europe	University of Modena	ACADEMIA
University of Montreal	Canada	North America	University of Montreal	ACADEMIA
University of Neyshabur	Iran	Middle East	University of Neyshabur	ACADEMIA
University of Oslo	Norway	Europe	University of Oslo	ACADEMIA
Department of Engineering Science	United Kingdom	Europe	University of Oxford	ACADEMIA
University of Oxford	United Kingdom	Europe	University of Oxford	ACADEMIA
Visual Geometry Group	United Kingdom	Europe	University of Oxford	ACADEMIA
University of Padova	Italy	Europe	University of Padova	ACADEMIA
University of Pennsylvania	USA	North America	University of Pennsylvania	ACADEMIA
University of Pittsburgh	USA	North America	University of Pittsburgh	ACADEMIA
University of Rochester	USA	North America	University of Rochester	ACADEMIA
University of San Francisco	USA	North America	University of San Francisco	ACADEMIA
University of Science	n/a	n/a	University of Science	ACADEMIA
University of South Carolina	USA	North America	University of South Carolina	ACADEMIA
University of Southern California	USA	North America	University of Southern California	ACADEMIA
University of Technology Nuremberg	Germany	Europe	University of Technology Nuremberg	ACADEMIA
University of Technology Sydney	Australia	APAC	University of Technology Sydney	ACADEMIA
University of Texas at Austin	USA	North America	University of Texas at Austin	ACADEMIA
University of Texas at San Antonio	USA	North America	University of Texas at San Antonio	ACADEMIA
University of Toronto	Canada	North America	University of Toronto	ACADEMIA
University of Turku	Finland	Europe	University of Turku	ACADEMIA
University of Warwick	United Kingdom	Europe	University of Warwick	ACADEMIA
Paul G. Allen School of Computer Science	USA	North America	University of Washington	ACADEMIA
University of Washington	USA	North America	University of Washington	ACADEMIA
University of Waterloo	Canada	North America	University of Waterloo	ACADEMIA
University of Wisconsin-Madison	USA	North America	University of Wisconsin–Madison	ACADEMIA
University of Wisconsin–Madison	USA	North America	University of Wisconsin–Madison	ACADEMIA
University Paris-Est	France	Europe	University Paris-Est	ACADEMIA
Univesité de Montréal	Canada	North America	Univesité de Montréal	ACADEMIA
Urbana-Champaign	USA	North America	Urbana-Champaign	ACADEMIA
DEVCOM Army Research Lab	USA	North America	US Army	ACADEMIA
IDSIA / USI-SUPSI	Switzerland	Europe	USI-SUPSI	ACADEMIA
UT Austin	USA	North America	UT Austin	ACADEMIA
Technicolor R&I	France	Europe	Vantiva	INDUSTRY
Vector Institute	Canada	North America	Vector Institute	ACADEMIA
VERSES AI Research Lab	USA	North America	VERSES AI	INDUSTRY
Zenseact	Sweden	Europe	Volvo	INDUSTRY
Waseda University	Japan	APAC	Waseda University	ACADEMIA
Weihai	China	China	Weihai	ACADEMIA
West Virginia University	USA	North America	West Virginia University	ACADEMIA
Westlake University	China	China	Westlake University	ACADEMIA
Wuhan University	China	China	Wuhan University	ACADEMIA
Twitter	USA	North America	X Corp.	INDUSTRY
Yonsei University	South Korea	APAC	Yonsei University	ACADEMIA
York University	Canada	North America	York University	ACADEMIA
Zhejiang University	China	China	Zhejiang University	ACADEMIA
ZHIPU AI	China	China	ZHIPU AI	INDUSTRY
Zhipu AI	China	China	Zhipu AI	INDUSTRY
Zipline	USA	North America	Zipline	INDUSTRY
Zürich	Switzerland	Europe	Zürich	N/A
